id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P081,Jai'Onte',McMillan,24,N/A,45,CB,Minnesota,0,Active,5-10,190
P082,Marco,Wilson,27,N/A,21,CB,Florida,6,Active,5-11,191
P083,Zayne,Anderson,29,N/A,23,S,BYU,4,Active,6-2,206
P084,Major,Burns,24,N/A,43,S,LSU,1,Active,6-2,207
P085,Lonnie,Johnson Jr.,30,N/A,32,S,Kentucky,8,Active,6-2,221
P086,Louis,Moore,25,N/A,41,S,Indiana,0,Active,5-11,190
P087,Michael,Taaffe,23,N/A,31,S,Texas,0,Active,6-0,190
P088,Dante,Trader Jr.,23,N/A,11,S,Maryland,2,Active,5-11,202
P089,Riley,Patterson,26,N/A,47,K,Memphis,6,Active,6-0,190
P090,Bradley,Pinion,32,N/A,48,P,Clemson,12,Active,6-5,265
P091,Tucker,Addington,29,N/A,46,LS,Sam Houston,2,Active,6-2,230
P092,Cole,Turner,26,N/A,87,TE,Nevada,3,Injured Reserve,6-6,240
P093,James,Ester,24,N/A,65,OG,Northern Illinois,1,Injured Reserve,6-3,289
P094,Carter,Warren,27,N/A,77,OT,Pittsburgh,3,Injured Reserve,6-5,311
P095,Rene,Konga,23,N/A,95,DT,Louisville,0,Injured Reserve,6-3,298
